h3_index,year,month,obs_count,total_pollinators,species_richness,PRCP,SNOW,SNWD,TMAX,TMIN,avg_crop_val,merged_abstracts,image_path
8612cb487ffffff,2023,11,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Habitat fragmentation in Southern US leads to reduced genetic diversity in native native bumblebee populations. We analyzed 368 sampling sites over 13 years. Residues of thiamethoxam found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 57% of tested fields. Residues of imidacloprid found in pollen samples correlate with increased mortality in Bombus terrestris. Lethal dose thresholds were exceeded in 35% of tested fields. Habitat fragmentation in Central Valley CA leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 284 sampling sites over 12 years.,0
8612da227ffffff,2022,12,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of Osmia lignaria populations in Eastern Seaboard reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention. Urban gardens in Great Plains provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 406x higher in garden plots. Residues of glyphosate found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 52% of tested fields. Habitat fragmentation in Pacific Northwest leads to reduced genetic diversity in native Bombus impatiens populations. We analyzed 367 sampling sites over 16 years.,0
8612da487ffffff,2020,5,1,25,1,0.0,0.0,0.0,0.0,0.0,0.0,"Urban gardens in Great Plains provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 274x higher in garden plots. This study evaluates the impact of organophosphate exposure on native bumblebee colonies across Central Valley CA. Results indicate a 30% decline in colony health metrics over the study period. Long-term monitoring of Bombus impatiens populations in Great Plains reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention. Residues of neonicotinoid found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 5% of tested fields. Climate change shifts the phenology of flowering plants in Southern US, disrupting native bumblebee pollination networks. Mean bloom date advanced by 10 days per decade. A meta-analysis of 89 studies spanning 8 years demonstrates that neonicotinoid negatively affects Apis mellifera foraging behavior and navigation abilities.",0
8612db0cfffffff,2023,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,"Long-term monitoring of Megachile rotundata populations in Central Valley CA reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Bombus terrestris pollination networks. Mean bloom date advanced by 4 days per decade. Habitat fragmentation in Midwest US leads to reduced genetic diversity in native Megachile rotundata populations. We analyzed 142 sampling sites over 12 years. Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting native bumblebee pollination networks. Mean bloom date advanced by 8 days per decade. Urban gardens in Great Plains provide crucial refuge for Osmia lignaria amidst surrounding agricultural monocultures. Species richness was 405x higher in garden plots. A meta-analysis of 280 studies spanning 14 years demonstrates that clothianidin negatively affects native bumblebee foraging behavior and navigation abilities. Urban gardens in Great Plains provide crucial refuge for Bombus impatiens amidst surrounding agricultural monocultures. Species richness was 210x higher in garden plots.",0
8612db1afffffff,2020,5,1,50,1,0.0,0.0,0.0,0.0,0.0,0.0,"Urban gardens in Great Plains provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 274x higher in garden plots. This study evaluates the impact of organophosphate exposure on native bumblebee colonies across Central Valley CA. Results indicate a 30% decline in colony health metrics over the study period. Long-term monitoring of Bombus impatiens populations in Great Plains reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention. Residues of neonicotinoid found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 5% of tested fields. Climate change shifts the phenology of flowering plants in Southern US, disrupting native bumblebee pollination networks. Mean bloom date advanced by 10 days per decade. A meta-analysis of 89 studies spanning 8 years demonstrates that neonicotinoid negatively affects Apis mellifera foraging behavior and navigation abilities.",0
8612db637ffffff,2021,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,"A meta-analysis of 203 studies spanning 9 years demonstrates that glyphosate negatively affects Megachile rotundata foraging behavior and navigation abilities. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 9 days per decade.",0
8612db737ffffff,2020,8,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Residues of clothianidin found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 7% of tested fields. Field trials in Central Valley CA show that integrated pest management reduces Bombus impatiens mortality by 49% compared to conventional imidacloprid application schedules.,0
8612db79fffffff,2023,1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Urban gardens in Great Plains provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 170x higher in garden plots. Urban gardens in Pacific Northwest provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 407x higher in garden plots. Habitat fragmentation in Central Valley CA leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 154 sampling sites over 17 years.,0
862600a57ffffff,2023,5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
862600b2fffffff,2023,10,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,"Residues of organophosphate found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 13% of tested fields. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 10 days per decade. Residues of organophosphate found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 14% of tested fields.",0
86260188fffffff,2023,10,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,"Residues of organophosphate found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 13% of tested fields. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 10 days per decade. Residues of organophosphate found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 14% of tested fields.",0
