gbifID,occurrenceID,basisOfRecord,scientificName,kingdom,phylum,class,order,family,genus,species,taxonRank,individualCount,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,countryCode,stateProvince,occurrenceStatus,license
1000000001,urn:catalog:POLL:0,PRESERVED_SPECIMEN,Osmia lignaria,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia lignaria,SPECIES,10,2020-01-12,2020,1,12,27.758937,-100.713476,1000,US,Virginia,PRESENT,CC0_1_0
1000000002,urn:catalog:POLL:1,PRESERVED_SPECIMEN,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,1,2023-09-03,2023,9,3,26.883253,-86.954057,50,US,Illinois,PRESENT,CC_BY_4_0
1000000003,urn:catalog:POLL:2,PRESERVED_SPECIMEN,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,1,2020-08-03,2020,8,3,29.512738,-91.171902,500,US,Minnesota,PRESENT,CC0_1_0
1000000004,urn:catalog:POLL:3,PRESERVED_SPECIMEN,Osmia lignaria,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia lignaria,SPECIES,3,2020-12-04,2020,12,4,46.715296,-123.222437,50,US,Minnesota,PRESENT,CC_BY_4_0
1000000005,urn:catalog:POLL:4,HUMAN_OBSERVATION,Bombus terrestris,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,SPECIES,1,2021-10-22,2021,10,22,34.439605,-67.658951,500,US,New York,PRESENT,CC0_1_0
1000000006,urn:catalog:POLL:5,PRESERVED_SPECIMEN,Xylocopa virginica,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,SPECIES,2,2023-01-09,2023,1,9,33.990422,-122.117885,100,US,California,PRESENT,CC0_1_0
1000000007,urn:catalog:POLL:6,HUMAN_OBSERVATION,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,3,2021-01-08,2021,1,8,32.01695,-68.851343,100,US,New York,PRESENT,CC_BY_NC_4_0
1000000008,urn:catalog:POLL:7,HUMAN_OBSERVATION,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,10,2022-09-02,2022,9,2,28.029484,-92.88281,100,US,Minnesota,PRESENT,CC_BY_NC_4_0
1000000009,urn:catalog:POLL:8,HUMAN_OBSERVATION,Osmia lignaria,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia lignaria,SPECIES,2,2021-12-10,2021,12,10,36.208429,-69.118356,500,US,Colorado,PRESENT,CC0_1_0
1000000010,urn:catalog:POLL:9,HUMAN_OBSERVATION,Bombus impatiens,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus impatiens,SPECIES,5,2023-05-08,2023,5,8,27.621147,-117.901668,50,US,Oregon,PRESENT,CC_BY_4_0
1000000011,urn:catalog:POLL:10,PRESERVED_SPECIMEN,Bombus terrestris,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,SPECIES,1,2021-04-10,2021,4,10,44.551526,-96.30151,1000,US,Ohio,PRESENT,CC0_1_0
1000000012,urn:catalog:POLL:11,HUMAN_OBSERVATION,Osmia lignaria,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia lignaria,SPECIES,3,2023-01-17,2023,1,17,33.389528,-114.753515,10,US,California,PRESENT,CC_BY_NC_4_0
1000000013,urn:catalog:POLL:12,PRESERVED_SPECIMEN,Bombus terrestris,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,SPECIES,1,2023-07-15,2023,7,15,33.495286,-121.568945,1000,US,Kansas,PRESENT,CC0_1_0
1000000014,urn:catalog:POLL:13,HUMAN_OBSERVATION,Bombus terrestris,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,SPECIES,10,2021-05-03,2021,5,3,35.876154,-88.992076,500,US,Virginia,PRESENT,CC_BY_NC_4_0
1000000015,urn:catalog:POLL:14,HUMAN_OBSERVATION,Xylocopa virginica,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,SPECIES,1,2020-02-16,2020,2,16,35.159065,-112.552453,100,US,North Carolina,PRESENT,CC0_1_0
1000000016,urn:catalog:POLL:15,PRESERVED_SPECIMEN,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,3,2023-08-04,2023,8,4,48.376591,-90.707421,100,US,Indiana,PRESENT,CC0_1_0
1000000017,urn:catalog:POLL:16,HUMAN_OBSERVATION,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,1,2022-02-16,2022,2,16,37.589147,-118.039042,50,US,Pennsylvania,PRESENT,CC_BY_4_0
1000000018,urn:catalog:POLL:17,HUMAN_OBSERVATION,Xylocopa virginica,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,SPECIES,1,2022-11-05,2022,11,5,26.616841,-105.410778,500,US,California,PRESENT,CC_BY_NC_4_0
1000000019,urn:catalog:POLL:18,HUMAN_OBSERVATION,Xylocopa virginica,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,SPECIES,2,2021-12-11,2021,12,11,39.065056,-79.556128,1000,US,Illinois,PRESENT,CC_BY_NC_4_0
1000000020,urn:catalog:POLL:19,HUMAN_OBSERVATION,Bombus terrestris,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,SPECIES,2,2021-02-04,2021,2,4,28.138023,-99.369537,500,US,Kansas,PRESENT,CC_BY_NC_4_0
1000000021,urn:catalog:POLL:20,HUMAN_OBSERVATION,Megachile rotundata,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata,SPECIES,1,2022-09-07,2022,9,7,25.242503,-88.404639,500,US,Texas,PRESENT,CC_BY_4_0
1000000022,urn:catalog:POLL:21,HUMAN_OBSERVATION,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,1,2023-01-14,2023,1,14,47.797812,-87.271168,100,US,Iowa,PRESENT,CC0_1_0
1000000023,urn:catalog:POLL:22,MACHINE_OBSERVATION,Bombus impatiens,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus impatiens,SPECIES,3,2020-09-06,2020,9,6,43.064933,-75.984085,1000,US,New York,PRESENT,CC_BY_4_0
1000000024,urn:catalog:POLL:23,PRESERVED_SPECIMEN,Xylocopa virginica,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,SPECIES,3,2021-01-25,2021,1,25,48.022616,-105.816939,10,US,Wisconsin,PRESENT,CC0_1_0
1000000025,urn:catalog:POLL:24,PRESERVED_SPECIMEN,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,1,2020-11-30,2020,11,30,35.969083,-84.980505,100,US,New York,PRESENT,CC_BY_4_0
1000000026,urn:catalog:POLL:25,PRESERVED_SPECIMEN,Megachile rotundata,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata,SPECIES,3,2021-09-20,2021,9,20,37.274181,-69.207091,1000,US,Minnesota,PRESENT,CC_BY_4_0
1000000027,urn:catalog:POLL:26,HUMAN_OBSERVATION,Megachile rotundata,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata,SPECIES,1,2020-05-16,2020,5,16,28.540087,-82.511008,50,US,Alabama,PRESENT,CC_BY_NC_4_0
1000000028,urn:catalog:POLL:27,HUMAN_OBSERVATION,Bombus impatiens,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus impatiens,SPECIES,2,2022-06-01,2022,6,1,30.425778,-96.332448,100,US,Colorado,PRESENT,CC_BY_4_0
1000000029,urn:catalog:POLL:28,HUMAN_OBSERVATION,Xylocopa virginica,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,SPECIES,1,2021-11-18,2021,11,18,44.625181,-88.233747,50,US,Georgia,PRESENT,CC0_1_0
1000000030,urn:catalog:POLL:29,HUMAN_OBSERVATION,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,2,2022-04-06,2022,4,6,33.048456,-81.968233,100,US,Washington,PRESENT,CC_BY_4_0
1000000031,urn:catalog:POLL:30,MACHINE_OBSERVATION,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,1,2021-12-27,2021,12,27,44.343559,-89.294143,500,US,Washington,PRESENT,CC_BY_4_0
1000000032,urn:catalog:POLL:31,HUMAN_OBSERVATION,Apis mellifera,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,50,2021-08-16,2021,8,16,41.516329,-123.541141,1000,US,Florida,PRESENT,CC0_1_0
1000000033,urn:catalog:POLL:32,HUMAN_OBSERVATION,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,1,2023-05-31,2023,5,31,28.752102,-113.300524,50,US,California,PRESENT,CC_BY_NC_4_0
1000000034,urn:catalog:POLL:33,HUMAN_OBSERVATION,Bombus impatiens,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus impatiens,SPECIES,1,2022-09-16,2022,9,16,36.678713,-77.898078,100,US,Arizona,PRESENT,CC0_1_0
1000000035,urn:catalog:POLL:34,HUMAN_OBSERVATION,Megachile rotundata,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata,SPECIES,1,2021-01-06,2021,1,6,40.757296,-108.822588,50,US,California,PRESENT,CC0_1_0
1000000036,urn:catalog:POLL:35,HUMAN_OBSERVATION,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,10,2022-07-23,2022,7,23,30.140893,-82.435178,100,US,Iowa,PRESENT,CC0_1_0
1000000037,urn:catalog:POLL:36,HUMAN_OBSERVATION,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,3,2022-09-21,2022,9,21,44.436524,-103.103088,100,US,South Dakota,PRESENT,CC_BY_4_0
