ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
USW0020943,20200105,TMAX,290,,,K,0800
USW0020943,20200105,PRCP,40,,,K,0800
USW0020943,20200105,TMIN,-10,,,7,1700
USW0020943,20200105,SNWD,2,,,X,1700
USW0020943,20200109,PRCP,11,,,N,1700
USW0020943,20200109,TMAX,167,,,X,1800
USW0020943,20200109,TMIN,174,,,X,1700
USW0020943,20200110,SNWD,12,,,K,0800
USW0020943,20200110,TMIN,-36,,,7,1800
USW0020943,20200110,TMAX,220,,,7,
USW0020943,20200110,PRCP,9,,,N,0700
USW0020943,20200115,SNWD,17,,,7,1800
USW0020943,20200115,TMAX,96,,,X,0700
USW0020943,20200115,SNOW,0,,,K,1700
USW0020943,20200121,SNWD,56,,,7,1700
USW0020943,20200121,SNOW,10,,,W,0700
USW0020943,20200121,PRCP,1,,,7,0700
USW0020943,20200122,TMIN,16,,,7,1700
USW0020943,20200122,SNWD,34,,,X,0800
USW0020943,20200122,PRCP,33,,,7,0800
USW0020943,20200124,SNOW,1,,,7,1800
USW0020943,20200124,PRCP,62,,,K,1800
USW0020943,20200206,TMAX,223,,,7,0800
USW0020943,20200206,PRCP,32,,,K,0800
USW0020943,20200208,TMAX,263,,,X,1800
USW0020943,20200208,PRCP,65,,,K,1800
USW0020943,20200208,SNOW,6,,,W,0700
USW0020943,20200214,PRCP,9,,,7,0800
USW0020943,20200214,SNWD,10,,,W,
USW0020943,20200219,SNWD,11,,,W,0700
USW0020943,20200219,TMAX,131,,,7,0800
USW0020943,20200219,SNOW,12,,,X,1800
USW0020943,20200220,TMAX,202,,,X,0800
USW0020943,20200220,TMIN,-88,,,7,
USW0020943,20200220,SNWD,22,,,N,1800
USW0020943,20200225,TMAX,140,,,X,0800
USW0020943,20200225,PRCP,28,,,K,1700
USW0020943,20200225,SNWD,39,,,K,0800
USW0020943,20200225,SNOW,3,,,7,0700
USW0020943,20200228,SNWD,15,,,X,1700
USW0020943,20200228,PRCP,31,,,K,
USW0020943,20200301,SNWD,70,,,N,1700
USW0020943,20200301,PRCP,17,,,7,0700
USW0020943,20200301,SNOW,15,,,W,0800
USW0020943,20200304,TMIN,146,,,W,0700
USW0020943,20200304,TMAX,410,,,N,
USW0020943,20200306,SNWD,11,,,W,
USW0020943,20200306,TMAX,145,,,X,
USW0020943,20200306,TMIN,29,,,N,0800
USW0020943,20200308,TMAX,197,,,N,
USW0020943,20200308,SNOW,10,,,W,1700
USW0020943,20200308,SNWD,18,,,K,
USW0020943,20200308,TMIN,150,,,X,1700
USW0020943,20200311,TMIN,-26,,,X,0800
USW0020943,20200311,TMAX,235,,,W,1800
USW0020943,20200314,TMIN,87,,,X,0800
USW0020943,20200314,SNOW,5,,,X,
USW0020943,20200314,SNWD,63,,,K,0700
USW0020943,20200315,PRCP,4,,,7,
USW0020943,20200315,SNWD,6,,,7,1800
USW0020943,20200324,TMIN,5,,,7,0800
USW0020943,20200324,PRCP,9,,,W,0800
USW0020943,20200324,SNOW,24,,,N,
USW0020943,20200325,PRCP,3,,,K,1700
USW0020943,20200325,SNWD,3,,,K,0700
USW0020943,20200325,TMIN,172,,,W,1700
USW0020943,20200326,SNWD,29,,,N,
USW0020943,20200326,SNOW,24,,,N,1800
USW0020943,20200328,PRCP,10,,,W,1800
USW0020943,20200328,TMAX,91,,,W,0800
USW0020943,20200330,PRCP,51,,,X,0700
USW0020943,20200330,TMIN,-59,,,W,1700
USW0020943,20200331,SNOW,4,,,7,1700
USW0020943,20200331,TMIN,141,,,K,0700
USW0020943,20200331,PRCP,7,,,X,0800
USW0020943,20200331,SNWD,32,,,X,0800
USW0020943,20200401,TMAX,222,,,X,
USW0020943,20200401,TMIN,25,,,7,
USW0020943,20200401,SNOW,9,,,K,0700
USW0020943,20200401,PRCP,28,,,X,0800
USW0020943,20200409,TMIN,38,,,K,0700
USW0020943,20200409,TMAX,-44,,,X,0800
USW0020943,20200409,PRCP,1,,,W,
USW0020943,20200417,SNWD,22,,,W,1700
USW0020943,20200417,SNOW,5,,,7,1800
USW0020943,20200418,SNWD,8,,,7,1800
USW0020943,20200418,SNOW,19,,,7,1700
USW0020943,20200418,TMAX,216,,,W,
USW0020943,20200419,TMIN,64,,,W,0700
USW0020943,20200419,SNOW,1,,,K,0800
USW0020943,20200419,TMAX,162,,,W,1800
USW0020943,20200419,SNWD,39,,,K,0700
USW0020943,20200421,SNOW,16,,,N,0800
USW0020943,20200421,TMAX,239,,,N,1800
USW0020943,20200421,SNWD,0,,,K,0700
USW0020943,20200421,PRCP,36,,,7,1800
USW0020943,20200423,TMAX,351,,,7,1700
USW0020943,20200423,SNWD,36,,,N,0700
USW0020943,20200428,TMAX,156,,,W,0700
USW0020943,20200428,PRCP,35,,,7,1800
USW0020943,20200430,TMIN,14,,,K,0700
USW0020943,20200430,PRCP,105,,,N,1800
USW0020943,20200430,SNOW,7,,,X,1800
USW0020943,20200430,TMAX,347,,,W,1700
USW0020943,20200502,TMIN,83,,,7,0800
USW0020943,20200502,TMAX,92,,,K,1800
USW0020943,20200502,SNOW,2,,,K,0700
USW0020943,20200502,PRCP,36,,,N,0700
USW0020943,20200503,PRCP,24,,,K,1800
USW0020943,20200503,TMIN,81,,,N,1700
USW0020943,20200503,TMAX,270,,,K,
USW0020943,20200508,TMAX,306,,,N,1800
USW0020943,20200508,PRCP,3,,,K,1700
USW0020943,20200508,SNWD,15,,,K,1800
USW0020943,20200520,SNOW,13,,,X,
USW0020943,20200520,TMIN,185,,,K,
USW0020943,20200520,SNWD,7,,,K,1800
USW0020943,20200520,TMAX,303,,,K,1800
USW0020943,20200522,SNOW,5,,,N,
USW0020943,20200522,PRCP,70,,,7,0700
USW0020943,20200523,PRCP,3,,,W,1700
USW0020943,20200523,SNOW,4,,,W,0700
USW0020943,20200528,SNWD,68,,,K,0700
USW0020943,20200528,SNOW,15,,,X,0700
USW0020943,20200528,TMIN,102,,,7,
