PMID,ArticleTitle,AbstractText,Authors,DOI,Journal,PubDate_Year,PubDate_Month
30000001,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,This study evaluates the impact of thiamethoxam exposure on Bombus impatiens colonies across Pacific Northwest. Results indicate a 31% decline in colony health metrics over the study period.,"Thomas D, Jones K",10.12152/pollinator.2010.2505,Nature Ecology & Evolution,2014,1
30000002,Pesticide Impact on Honeybee Colony Health,Urban gardens in Central Valley CA provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 339x higher in garden plots.,"Martin F, Taylor S, Johnson A",10.18566/pollinator.2012.2805,Science of the Total Environment,2020,9
30000003,Genetic Diversity of Pollinators in Fragmented Habitats,Habitat fragmentation in Central Valley CA leads to reduced genetic diversity in native Apis mellifera populations. We analyzed 163 sampling sites over 12 years.,"Jones K, Garcia L, Martin F, Williams R, Johnson A",10.17114/pollinator.2013.7307,Environmental Science & Technology,2016,6
30000004,Pesticide Impact on Honeybee Colony Health,This study evaluates the impact of clothianidin exposure on native bumblebee colonies across Great Plains. Results indicate a 35% decline in colony health metrics over the study period.,"Jackson B, Smith J, Moore H",10.11863/pollinator.2024.5165,Ecology Letters,2020,7
30000005,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Field trials in Central Valley CA show that integrated pest management reduces Bombus impatiens mortality by 57% compared to conventional clothianidin application schedules.,"Brown M, Lee W, Jones K, Taylor S, Johnson A",10.18013/pollinator.2022.4092,Ecology Letters,2017,12
30000006,Integrated Pest Management Benefits for Pollinator Health,Residues of glyphosate found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 23% of tested fields.,"Johnson A, Williams R, Jones K, Garcia L, Smith J",10.18079/pollinator.2024.5376,Journal of Applied Ecology,2017,8
30000007,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,This study evaluates the impact of glyphosate exposure on Bombus impatiens colonies across Pacific Northwest. Results indicate a 19% decline in colony health metrics over the study period.,"Martinez C, Wilson P, Martin F",10.17579/pollinator.2024.3007,Journal of Applied Ecology,2016,2
30000008,Integrated Pest Management Benefits for Pollinator Health,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Bombus terrestris pollination networks. Mean bloom date advanced by 10 days per decade.","Martinez C, Jackson B, Wilson P, Thomas D",10.11461/pollinator.2013.6152,Science of the Total Environment,2016,7
30000009,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,A meta-analysis of 73 studies spanning 12 years demonstrates that clothianidin negatively affects Apis mellifera foraging behavior and navigation abilities.,"Thomas D, Garcia L, Johnson A, Martinez C",10.15003/pollinator.2019.4062,PNAS,2013,3
30000010,Urban Pollinator Conservation: A Garden Ecology Study,Long-term monitoring of native bumblebee populations in Midwest US reveals significant population declines linked to clothianidin application rates. We recommend immediate policy intervention.,"Smith J, Martinez C, Taylor S, Martin F",10.14237/pollinator.2011.2542,Nature Ecology & Evolution,2013,6
30000011,Long-Term Trends in Pollinator Abundance and Pesticide Use,Residues of glyphosate found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 64% of tested fields.,"Jones K, Martin F",10.16067/pollinator.2018.2448,Ecology Letters,2012,7
30000012,Urban Pollinator Conservation: A Garden Ecology Study,Habitat fragmentation in Eastern Seaboard leads to reduced genetic diversity in native Apis mellifera populations. We analyzed 198 sampling sites over 3 years.,"Smith J, Lee W",10.15002/pollinator.2016.4918,Journal of Applied Ecology,2012,5
