source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_alpha,state_name,state_ansi,county_name,county_code,asd_desc,year,freq_desc,reference_period_desc,begin_code,end_code,Value,CV_%
CENSUS,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"WHEAT - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,MN,MINNESOTA,27,COUNTY 041,186,CENTRAL,2021,ANNUAL,YEAR,0,0,197.53,1.8
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"ALMONDS - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,ND,NORTH DAKOTA,38,COUNTY 010,138,CENTRAL,2019,ANNUAL,JUL,0,0,163.72,7.3
CENSUS,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"CORN - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,ND,NORTH DAKOTA,38,COUNTY 052,046,CENTRAL,2018,ANNUAL,APR,0,0,45.34,13.7
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"SOYBEANS - PRODUCTION, MEASURED IN BU","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,IL,ILLINOIS,17,COUNTY 075,019,CENTRAL,2020,ANNUAL,YEAR,0,0,134.11,18.0
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"SOYBEANS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,WI,WISCONSIN,55,COUNTY 057,038,CENTRAL,2019,ANNUAL,JAN,0,0,187.05,15.4
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SOYBEANS - APPLICATIONS, MEASURED IN LB",TOTAL,NOT SPECIFIED,COUNTY,KS,KANSAS,20,COUNTY 078,037,CENTRAL,2021,ANNUAL,JUL,0,0,224.03,27.6
CENSUS,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"WHEAT - YIELD, MEASURED IN BU / ACRE","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,OH,OHIO,39,COUNTY 003,112,CENTRAL,2019,ANNUAL,JUL,0,0,215.72,28.2
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"CORN - YIELD, MEASURED IN BU / ACRE","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,MN,MINNESOTA,27,COUNTY 057,045,CENTRAL,2018,ANNUAL,APR,0,0,39.09,4.1
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"SOYBEANS - TREATED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,IN,INDIANA,18,COUNTY 033,117,CENTRAL,2018,ANNUAL,OCT,0,0,122.26,5.0
CENSUS,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"COTTON - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,IA,IOWA,19,COUNTY 007,162,CENTRAL,2018,ANNUAL,YEAR,0,0,119.83,11.4
