compound,year,state_fips,county_fips,epest_low_kg,epest_high_kg,data_source,county
"2,4-D",2010,48,85,12560.2,12571.4,usgs_pnsp,Collin
"2,4-D",2010,48,113,3206.1,3254.7,usgs_pnsp,Dallas
"2,4-D",2010,48,121,15478.0,15487.6,usgs_pnsp,Denton
"2,4-D",2010,48,139,18209.2,19309.9,usgs_pnsp,Ellis
"2,4-D",2010,48,251,15261.2,15263.3,usgs_pnsp,Johnson
"2,4-D",2010,48,257,16636.8,16746.9,usgs_pnsp,Kaufman
"2,4-D",2010,48,397,1719.5,1719.5,usgs_pnsp,Rockwall
"2,4-D",2010,48,439,6219.8,6220.0,usgs_pnsp,Tarrant
ACETAMIPRID,2010,48,85,,2.6,usgs_pnsp,Collin
ACETAMIPRID,2010,48,121,,1.7,usgs_pnsp,Denton
ACETAMIPRID,2010,48,139,,46.3,usgs_pnsp,Ellis
ACETAMIPRID,2010,48,251,,1.9,usgs_pnsp,Johnson
ACETAMIPRID,2010,48,397,,0.2,usgs_pnsp,Rockwall
ACETOCHLOR,2010,48,85,,1631.0,usgs_pnsp,Collin
ACETOCHLOR,2010,48,113,,291.3,usgs_pnsp,Dallas
ACETOCHLOR,2010,48,121,,1021.1,usgs_pnsp,Denton
ACETOCHLOR,2010,48,139,,5776.8,usgs_pnsp,Ellis
ACETOCHLOR,2010,48,251,,976.7,usgs_pnsp,Johnson
ACETOCHLOR,2010,48,257,,454.8,usgs_pnsp,Kaufman
ACETOCHLOR,2010,48,397,,36.5,usgs_pnsp,Rockwall
ACETOCHLOR,2010,48,439,,78.5,usgs_pnsp,Tarrant
ATRAZINE,2010,48,85,2863.2,2890.6,usgs_pnsp,Collin
ATRAZINE,2010,48,113,298.4,307.0,usgs_pnsp,Dallas
ATRAZINE,2010,48,121,2219.2,2238.9,usgs_pnsp,Denton
ATRAZINE,2010,48,139,4894.0,4927.8,usgs_pnsp,Ellis
ATRAZINE,2010,48,251,1389.8,1433.0,usgs_pnsp,Johnson
ATRAZINE,2010,48,257,698.1,717.1,usgs_pnsp,Kaufman
ATRAZINE,2010,48,397,80.6,83.8,usgs_pnsp,Rockwall
ATRAZINE,2010,48,439,265.0,279.0,usgs_pnsp,Tarrant
AZOXYSTROBIN,2010,48,85,17.8,29.0,usgs_pnsp,Collin
AZOXYSTROBIN,2010,48,113,4.3,8.7,usgs_pnsp,Dallas
AZOXYSTROBIN,2010,48,121,12.0,17.0,usgs_pnsp,Denton
AZOXYSTROBIN,2010,48,139,12.7,49.2,usgs_pnsp,Ellis
AZOXYSTROBIN,2010,48,251,6.3,14.1,usgs_pnsp,Johnson
AZOXYSTROBIN,2010,48,257,2.6,9.1,usgs_pnsp,Kaufman
AZOXYSTROBIN,2010,48,397,1.1,1.2,usgs_pnsp,Rockwall
AZOXYSTROBIN,2010,48,439,2.6,2.7,usgs_pnsp,Tarrant
BIFENTHRIN,2010,48,85,0.5,10.5,usgs_pnsp,Collin
BIFENTHRIN,2010,48,113,0.2,2.6,usgs_pnsp,Dallas
BIFENTHRIN,2010,48,121,0.6,6.4,usgs_pnsp,Denton
BIFENTHRIN,2010,48,139,0.6,115.6,usgs_pnsp,Ellis
BIFENTHRIN,2010,48,251,0.8,7.9,usgs_pnsp,Johnson
BIFENTHRIN,2010,48,257,0.3,4.5,usgs_pnsp,Kaufman
BIFENTHRIN,2010,48,397,,0.4,usgs_pnsp,Rockwall
BIFENTHRIN,2010,48,439,0.3,0.3,usgs_pnsp,Tarrant
BOSCALID,2010,48,85,2.3,2.3,usgs_pnsp,Collin
BOSCALID,2010,48,113,1.7,1.7,usgs_pnsp,Dallas
BOSCALID,2010,48,121,6.1,6.1,usgs_pnsp,Denton
BOSCALID,2010,48,139,0.1,0.1,usgs_pnsp,Ellis
BOSCALID,2010,48,251,3.8,3.8,usgs_pnsp,Johnson
BOSCALID,2010,48,257,2.7,2.7,usgs_pnsp,Kaufman
BOSCALID,2010,48,439,1.0,1.0,usgs_pnsp,Tarrant
CHLORPYRIFOS,2010,48,85,311.9,457.4,usgs_pnsp,Collin
CHLORPYRIFOS,2010,48,113,66.9,111.1,usgs_pnsp,Dallas
CHLORPYRIFOS,2010,48,121,192.7,342.6,usgs_pnsp,Denton
CHLORPYRIFOS,2010,48,139,238.7,937.5,usgs_pnsp,Ellis
CHLORPYRIFOS,2010,48,251,150.0,255.6,usgs_pnsp,Johnson
CHLORPYRIFOS,2010,48,257,80.9,147.1,usgs_pnsp,Kaufman
CHLORPYRIFOS,2010,48,397,20.6,24.1,usgs_pnsp,Rockwall
CHLORPYRIFOS,2010,48,439,67.3,90.0,usgs_pnsp,Tarrant
CLOTHIANIDIN,2010,48,85,35.0,40.4,usgs_pnsp,Collin
CLOTHIANIDIN,2010,48,113,10.5,10.8,usgs_pnsp,Dallas
CLOTHIANIDIN,2010,48,121,15.5,20.1,usgs_pnsp,Denton
CLOTHIANIDIN,2010,48,139,109.1,116.7,usgs_pnsp,Ellis
CLOTHIANIDIN,2010,48,251,24.8,27.1,usgs_pnsp,Johnson
CLOTHIANIDIN,2010,48,257,13.0,14.2,usgs_pnsp,Kaufman
CLOTHIANIDIN,2010,48,397,0.3,0.4,usgs_pnsp,Rockwall
CLOTHIANIDIN,2010,48,439,0.1,0.8,usgs_pnsp,Tarrant
CYFLUTHRIN,2010,48,85,5.1,7.0,usgs_pnsp,Collin
CYFLUTHRIN,2010,48,113,0.7,1.3,usgs_pnsp,Dallas
CYFLUTHRIN,2010,48,121,3.7,6.4,usgs_pnsp,Denton
CYFLUTHRIN,2010,48,139,10.1,13.7,usgs_pnsp,Ellis
CYFLUTHRIN,2010,48,251,3.0,5.2,usgs_pnsp,Johnson
CYFLUTHRIN,2010,48,257,1.4,2.3,usgs_pnsp,Kaufman
CYFLUTHRIN,2010,48,397,0.1,0.3,usgs_pnsp,Rockwall
CYFLUTHRIN,2010,48,439,0.4,1.5,usgs_pnsp,Tarrant
CYPERMETHRIN,2010,48,85,,2.6,usgs_pnsp,Collin
CYPERMETHRIN,2010,48,113,,0.8,usgs_pnsp,Dallas
CYPERMETHRIN,2010,48,121,,1.9,usgs_pnsp,Denton
